Date,Min,Max,Rain,Rad
2011/6/21,4.7,23.2,3.7,14.3
2011/6/22,6,22.4,0,29
2011/6/23,10.8,22.1,0,27.3
2011/6/24,6.9,20.7,0,7.9
2011/6/25,11.2,18.3,2,18.7
2011/6/26,7.6,24.8,0,21.9
2011/6/27,8.8,28.9,0,22
2011/6/28,9.9,17.3,0,26
2011/6/29,18.7,27.4,0,28.7
2011/6/30,8,20.3,0,24.4
2011/7/1,15.3,20.4,0,28.3
2011/7/2,11.9,20.9,1.1,8.8
2011/7/3,7.7,28.2,13.1,9.6
2011/7/4,12.7,20,0.3,4.4
2011/7/5,12.6,18.8,1.2,19.3
2011/7/6,9.1,16.6,0.6,18.5
2011/7/7,13.3,19.1,3.6,24.5
2011/7/8,8.2,25.8,3.9,6.9
2011/7/9,12.3,21,0.3,11.1
2011/7/10,16.2,22.1,0,25.7
2011/7/11,15.2,30.2,0,17.6
2011/7/12,15.8,18.3,0.1,16.9
2011/7/13,7.8,18,0,18.7
2011/7/14,17.4,18.9,2.5,22.6
2011/7/15,10.9,20.4,8.1,10.7
2011/7/16,11,25.7,0,17
2011/7/17,7.6,18.9,0,12.7
2011/7/18,13.6,19.2,0,18.9
2011/7/19,13.4,26.6,0,28.7
2011/7/20,7,26.3,0,18.4
2011/7/21,10.8,23.4,0,22.7
2011/7/22,13.2,24,0,16.6
2011/7/23,11,26.9,5.5,12.9
2011/7/24,12.7,23.2,1.2,19.7
2011/7/25,10.8,21.5,3.4,17.9
2011/7/26,10,22,0.5,17.2
2011/7/27,7.5,22.6,0,19
2011/7/28,11.6,23.1,0,10.3
2011/7/29,10.7,31.4,2.4,14.8
2011/7/30,15.9,24.4,0.7,7.7
2011/7/31,17.7,18.3,0.5,10.5
2011/8/1,11.8,20.6,1,22.9
2011/8/2,14.7,17.3,2,5.2
2011/8/3,14.8,27.7,0,22.1
2011/8/4,14,22.1,0,21.6
2011/8/5,8.1,21.5,0,15.3
2011/8/6,13.5,26.4,0,17.5
2011/8/7,9.2,20.4,4.4,12.3
2011/8/8,15.4,23,0.2,9.5
2011/8/9,11.5,26.7,0,20.2
2011/8/10,13.5,22.6,3.2,8.9
2011/8/11,13.6,23.6,0.2,17.3
2011/8/12,13.8,28.5,0,14.6
2011/8/13,16.4,23.5,0,12.2
2011/8/14,14.3,21.9,0,16.6
2011/8/15,11.5,22.3,0.2,9.7
2011/8/16,10.5,22.8,0,21.1
2011/8/17,14.2,25.2,0,4.4
2011/8/18,9.4,20.6,0,12.2
2011/8/19,16.4,22.6,0,17.2
2011/8/20,12.2,17.8,0,19.1
2011/8/21,15.7,28.6,0,20.2
2011/8/22,15.3,27.3,0,16.9
2011/8/23,15.4,23.4,13.3,18.9
2011/8/24,13.7,22.6,0,21.6
2011/8/25,8.9,18.5,0.1,20.9
2011/8/26,16.1,21.3,0,8.8
2011/8/27,8.7,23.5,0,16.9
2011/8/28,8.5,17.8,24.3,14.4
2011/8/29,9.2,25.2,0,10.2
2011/8/30,14.8,25.9,0,15.5
2011/8/31,10,18.8,0.7,14.5
2011/9/1,10.5,22.7,17.8,7.7
2011/9/2,9.9,19.7,20.6,14.5
2011/9/3,15.1,27.8,0,17.6
2011/9/4,9.8,22.7,0,4
2011/9/5,13.2,20.6,2.9,15.8
2011/9/6,11.9,19.7,1.1,6.7
2011/9/7,11.5,18.7,0.6,12.6
2011/9/8,8.6,17.4,0.3,8.4
2011/9/9,10.9,26.7,0,15
2011/9/10,15.1,19.6,0.1,17.8
2011/9/11,8.4,21.6,0,11.4
2011/9/12,11.6,22.1,0,17.4
2011/9/13,9.3,26.9,0,13.6
2011/9/14,9.5,22,16.8,10.8
2011/9/15,9.6,16,0,12.7
2011/9/16,9.3,16.8,0,12.9
2011/9/17,14,22.5,0.1,5.6
2011/9/18,14.4,16.4,1,13.6
2011/9/19,17,17.7,2.7,11.8
2011/9/20,10.9,21.1,0.1,11.7
2011/9/21,12.3,16.4,7.8,8
2011/9/22,10,12.9,0.1,12
2011/9/23,12.1,16.1,5.8,12.6
2011/9/24,8.7,17.5,8.4,7.7
2011/9/25,11.1,17.6,29.4,14.7
2011/9/26,8.6,15.4,0.6,13
2011/9/27,6,17.3,26.3,3.3
2011/9/28,4.2,16.8,2.4,2.9
2011/9/29,7.1,16.9,0.1,7.4
2011/9/30,4.5,17.7,2.7,2.7
2011/10/1,7.1,18.9,26.8,11.1
2011/10/2,13.8,16.4,5.2,7.6
2011/10/3,13.5,15.5,0,10.4
2011/10/4,7.6,19.6,0,10.1
2011/10/5,1.7,15.6,1.1,6.4
2011/10/6,8.4,12.3,0.3,2
2011/10/7,13,18.6,0,11.1
2011/10/8,12.4,14.4,0,7.7
2011/10/9,7.3,20.8,0.5,4.7
2011/10/10,8.1,16.3,8.4,10.7
2011/10/11,9.6,16.5,0.2,5.1
2011/10/12,14.5,17.8,1.8,6.3
2011/10/13,10.5,15.3,1.9,6.2
2011/10/14,9.4,17.2,0,9.2
2011/10/15,10,23.3,0,11
2011/10/16,12.5,19.4,0,10.8
2011/10/17,7,17.1,14.6,4.1
2011/10/18,2.7,19.1,9,8.3
2011/10/19,7,14.1,0,4.8
2011/10/20,0.9,13.6,0,6.5
2011/10/21,9,11,0,9.3
2011/10/22,8.5,15.8,0.3,2.8
2011/10/23,1.2,12.9,20.2,6.1
2011/10/24,7.8,9.8,5.6,2
2011/10/25,3.1,6.8,0,5.9
2011/10/26,2.3,9.4,0,6.7
2011/10/27,2.8,7.8,0,6.4
2011/10/28,3.1,12.2,0,8.7
2011/10/29,0.9,16.3,0,7.7
2011/10/30,6.9,13.5,0,5
2011/10/31,4.1,7.6,0,3.4
2011/11/1,7.1,15.1,4.6,2.3
2011/11/2,3.9,12.8,24.7,4.3
2011/11/3,5.9,13.8,12.8,4.2
2011/11/4,6.9,8.9,0.9,4.2
2011/11/5,7.7,8.6,0.4,7.5
2011/11/6,8.4,15.8,0.3,4.6
2011/11/7,6.8,8.8,4.4,3.2
2011/11/8,4.5,15.9,0.4,7.1
2011/11/9,10.5,14.2,0.4,1.1
2011/11/10,5.6,12,0.3,4.2
2011/11/11,-0.3,14.9,13,5
2011/11/12,2.8,9.5,10.9,2.2
2011/11/13,4.6,10,10.8,3.6
2011/11/14,1.5,12.1,0.1,2.8
2011/11/15,5.2,10.9,1,4
2011/11/16,6,7.7,0.1,2.9
2011/11/17,4.1,12.7,0.1,3.1
2011/11/18,-3.3,6.7,1.3,0.9
2011/11/19,2.7,13.9,0.9,2.1
2011/11/20,0.9,9.5,1.5,0.9
2011/11/21,7.5,15,0.9,1
2011/11/22,2.9,7,0.1,2.5
2011/11/23,-1.6,6.5,0.5,3.9
2011/11/24,9,10.2,7,2.3
2011/11/25,-7.3,6.9,0.5,0.9
2011/11/26,-0.2,10.7,0.5,1.6
2011/11/27,3.3,13.6,0,3.7
2011/11/28,1,7.1,0.3,3.2
2011/11/29,5.5,8.5,15.8,2.1
2011/11/30,-9.7,8.3,2.1,2.9
2011/12/1,6.5,8.5,6.3,2
2011/12/2,4.6,11.4,1.9,3.8
2011/12/3,4.2,12.4,5.2,3.3
2011/12/4,4.4,12.4,11.9,0.7
2011/12/5,11.4,13.8,0.2,0.7
2011/12/6,-5,5.2,0.7,0.8
2011/12/7,2.5,4.1,0.1,2.9
2011/12/8,-0.6,1.4,9,0.9
2011/12/9,4,12.2,5.5,0.7
2011/12/10,1.3,10.2,0.8,1.2
2011/12/11,1.7,8.5,0.4,0.7
2011/12/12,0.2,2.7,6.9,3.3
2011/12/13,2.2,4.2,0,0.7
2011/12/14,2.3,7,5.8,0.7
2011/12/15,1.2,7.3,1.4,2.4
2011/12/16,0.6,4.8,8.5,1.5
2011/12/17,-16.1,10.1,1.1,1.7
2011/12/18,1.5,3.2,0,2.1
2011/12/19,6.1,6.2,0,0.6
2011/12/20,0,10.7,0.8,4.1
2011/12/21,7.4,9.4,0.1,2.3
2011/12/22,-3,3.5,0.1,1.2
2011/12/23,2.6,7.5,0,2
2011/12/24,4.2,10.5,0.8,1.3
2011/12/25,5,11.6,0.8,0.6
2011/12/26,6,8.1,0,0.6
2011/12/27,1.9,7.7,0.4,3.1
2011/12/28,2.3,9.8,1.6,3
2011/12/29,-3.4,7.3,0.1,4.5
2011/12/30,-1.8,3.6,0,0.7
2011/12/31,5.3,13.3,7.2,1
2012/1/1,1,4,0,3.3
2012/1/2,3.9,8.1,0,3.5
2012/1/3,-3.3,5.4,0,4.6
2012/1/4,1.2,5.5,0,0.7
2012/1/5,5.6,7.6,0,4.4
2012/1/6,2.6,5.7,0.3,3.6
2012/1/7,9.4,11.4,0.2,0.7
2012/1/8,6.3,8.3,4.7,0.7
2012/1/9,0.8,2.8,0.1,1.5
2012/1/10,2.7,5.7,0,1.4
2012/1/11,0.2,9.9,0.1,2
2012/1/12,2.2,9.2,4.8,4
2012/1/13,1.4,10.3,0,2.1
2012/1/14,4.1,8.2,12.7,1.9
2012/1/15,2.8,8.7,0.1,0.9
2012/1/16,3.7,10,5,2.4
2012/1/17,4.7,6.1,0,4.8
2012/1/18,1.5,9.3,0.1,4
2012/1/19,-3.8,8.2,2.4,2.4
2012/1/20,5,11.8,0.2,2.5
2012/1/21,1.6,6,0.6,0.9
2012/1/22,-0.8,1.2,0,5.4
2012/1/23,1.5,7.9,5.2,2.4
2012/1/24,10,12.1,0.6,3.1
2012/1/25,2.5,11.2,0.4,1.2
2012/1/26,7.6,11.9,0.2,0.9
2012/1/27,2.7,10.9,2.6,1
2012/1/28,1.8,12.4,1,1
2012/1/29,5.2,11.1,3.1,2.6
2012/1/30,-0.6,7.4,0,6
2012/1/31,0.7,10.1,0,4.8
2012/2/1,-2.1,2.9,0,7.1
2012/2/2,1.9,5.6,0,4.9
2012/2/3,-5.3,12.8,0,1.5
2012/2/4,-0.6,5.9,0,1.4
2012/2/5,2.8,6.4,0.7,5.1
2012/2/6,5.9,7.9,0.2,1.9
2012/2/7,-4.4,12.6,0,2.9
2012/2/8,5.5,7.7,0.1,4.4
2012/2/9,4.8,11.9,0.1,7.3
2012/2/10,-2.6,12.3,11.8,4.9
2012/2/11,-2.6,7.9,0,4.1
2012/2/12,5.8,10.6,2,4.8
2012/2/13,0.5,10.4,0,8.3
2012/2/14,0.6,2.7,0,3.5
2012/2/15,-1,8.2,6.9,1.7
2012/2/16,1.1,8.4,0.9,3.8
2012/2/17,-3.5,5.3,4.2,1.4
2012/2/18,2.6,10.1,1.2,5.3
2012/2/19,8,12.6,14.2,8.7
2012/2/20,2.2,12.8,0.3,2.4
2012/2/21,3.9,8.7,0,9.3
2012/2/22,1.8,3.4,0,7.7
2012/2/23,1.7,3.7,0,2.4
2012/2/24,-1.1,11.2,0,5.5
2012/2/25,-2.5,1.6,0.7,9.3
2012/2/26,0.9,2.9,4.6,1.7
2012/2/27,0.5,11.9,0,11.4
2012/2/28,0.8,11,0,9.2
2012/2/29,1.4,11.1,0,4.4
2012/3/1,1.2,8.3,0,11.6
2012/3/2,4.9,13.9,10.2,2.5
2012/3/3,6.9,8.4,0.6,4.2
2012/3/4,2.7,7.1,0.9,11
2012/3/5,0.6,5.7,1.1,1.9
2012/3/6,10.3,12.9,1.1,11.4
2012/3/7,0.7,6.4,3.6,3.4
2012/3/8,4.8,7.5,1.4,7.8
2012/3/9,5.6,7.6,1.1,4.8
2012/3/10,0.6,8.4,0.4,3.8
2012/3/11,1,11.4,0.3,2.1
2012/3/12,5.8,16.4,0,13.6
2012/3/13,0.1,9.5,0.4,4.7
2012/3/14,6.3,8.3,14.2,3.2
2012/3/15,3.8,10.7,1.6,9.9
2012/3/16,4.4,14.3,0.2,5.8
2012/3/17,-1.3,7.3,10.8,10.9
2012/3/18,4.8,6.8,2,5.9
2012/3/19,4.9,13.4,1.3,7.2
2012/3/20,2.3,8.7,0,4.1
2012/3/21,1.9,5.8,0,10.6
2012/3/22,3.7,16.1,2.1,3.9
2012/3/23,2.8,10.7,0.2,12
2012/3/24,6.9,10.7,1,12.3
2012/3/25,2.3,14.3,0,15.9
2012/3/26,0.8,11.1,0,7.1
2012/3/27,3.1,11.4,0,14.2
2012/3/28,2.8,11.5,0,9.8
2012/3/29,6,14.9,0,12.3
2012/3/30,9.1,10.7,0,7.7
2012/3/31,4.6,15,0,8.4
2012/4/1,5.3,14.7,0,15
2012/4/2,1.8,16.3,6.2,9
2012/4/3,5.7,8.6,0.1,19
2012/4/4,6,8,0,13.2
2012/4/5,10,12,5.1,14.9
2012/4/6,-0.8,8.8,7.3,9.7
2012/4/7,1.5,18.7,0,15.2
2012/4/8,4.3,12,0,12.1
2012/4/9,6.5,16.8,10,6.7
2012/4/10,-1.1,18,3.4,16.9
2012/4/11,7.3,14,5.5,21.3
2012/4/12,4.8,8.7,0,11.3
2012/4/13,6.6,16.2,0,12.3
2012/4/14,5.1,19.1,0,21.2
2012/4/15,3.6,17.1,0,15.6
2012/4/16,7.2,9.2,0,17.6
2012/4/17,6.6,14.6,0,11.1
2012/4/18,4.7,14.3,0,4.8
2012/4/19,3.9,15.1,0.5,13
2012/4/20,5.7,13.4,1.3,12.8
2012/4/21,10.7,17.1,9.4,11.3
2012/4/22,4.5,16.5,0,19.1
2012/4/23,4.8,10.2,0,19.3
2012/4/24,3.7,14.8,1.9,10.2
2012/4/25,3.3,14.4,6.7,9.5
2012/4/26,8,14.5,1.6,8
2012/4/27,6,18.8,0,9.5
2012/4/28,3.4,17.3,0,24.9
2012/4/29,6.8,14.2,7.5,19.4
2012/4/30,1.1,12.9,0,17.3
2012/5/1,7.7,19.5,0,19
2012/5/2,9.4,12.3,0,19.9
2012/5/3,1.1,20.6,0,16.4
2012/5/4,5.4,19.2,0,23.7
2012/5/5,6.9,20.8,0,22.2
2012/5/6,7.8,23.7,0,24.7
2012/5/7,4.7,18,0,23.7
2012/5/8,3.8,19.7,0,25.2
2012/5/9,9.7,11.5,0,6.3
2012/5/10,10.5,17.2,0,21.7
2012/5/11,9.6,16.5,2,10.8
2012/5/12,2.8,15.2,0.7,9.4
2012/5/13,7.6,13.2,0,25.6
2012/5/14,5.5,12.6,8.9,12.4
2012/5/15,7.7,13.2,0.3,10.2
2012/5/16,6.1,14.2,0,22.3
2012/5/17,6.6,15.7,4.2,12.8
2012/5/18,9.1,14.1,0.6,19.9
2012/5/19,9.6,12.3,7.9,9.5
2012/5/20,11.5,13,0,19.9
2012/5/21,10.3,22.1,0,11.6
2012/5/22,1.4,18.3,0.8,16.1
2012/5/23,5.8,17.4,9,26.3
2012/5/24,12.6,23.5,0,20.8
2012/5/25,5,16.2,6.3,12.3
2012/5/26,12.3,13.7,0.9,15.5
2012/5/27,9,16.3,6.9,12.7
2012/5/28,9.1,14.2,1.1,16
2012/5/29,14.2,16.9,0.7,11.3
2012/5/30,9.7,16.1,6,8
2012/5/31,7,23.2,0.9,8
2012/6/1,7.2,17.1,1.8,12.3
2012/6/2,9.6,17.9,0,12.2
2012/6/3,14.7,24.6,0,23.8
2012/6/4,8.6,25.8,0,22.4
2012/6/5,8.6,15.4,14.7,8.9
2012/6/6,13.7,21.4,0,17.7
2012/6/7,11.9,18.9,12.8,21
2012/6/8,10.8,15.7,20.5,11.5
2012/6/9,9.5,15.6,2.2,13.9
2012/6/10,11.8,19.1,4.9,17.7
2012/6/11,6.9,18.8,4.2,13.5
2012/6/12,4.6,19.9,1.8,15
2012/6/13,10.9,16.7,6.1,12.6
2012/6/14,11.6,29.7,4.3,11.9
2012/6/15,11.7,18.4,0.7,4.6
2012/6/16,11.1,20.4,0,24.7
2012/6/17,12.3,18.2,8.5,20.9
2012/6/18,7,20.5,0,26.3
2012/6/19,13.3,19.5,0,29.7
2012/6/20,8.7,19,0.3,10.7
2012/6/21,13.6,19.8,3,11.7
2012/6/22,9.1,17.3,7.2,16.1
2012/6/23,8,19.4,0.8,20.3
2012/6/24,12.1,23.8,0,18.1
2012/6/25,12.9,22.7,0,22.4
2012/6/26,11.8,29.2,0,19.3
2012/6/27,10.9,27.9,0,6.2
2012/6/28,14.2,15.2,0,27.1
2012/6/29,9.4,25.5,0,21.8
2012/6/30,13.4,20.5,0,22.7
2012/7/1,13.4,22.6,0,15.9
2012/7/2,14.1,26,0,10.5
2012/7/3,14.5,18.3,1.5,20.3
2012/7/4,13.1,22.3,3.3,4.4
2012/7/5,11,15,0.4,4.4
2012/7/6,11.1,19.4,2.5,17.1
2012/7/7,16.9,20.7,0,7.3
2012/7/8,13.2,25.2,0,16
2012/7/9,8,25.2,0,28.5
2012/7/10,12,23.6,0,24.3
2012/7/11,9.9,17.8,1.2,12.2
2012/7/12,10.6,19.1,0.1,6.7
2012/7/13,14.6,18.4,0,26
2012/7/14,11.7,22.9,0,17.9
2012/7/15,13.4,25.3,0,24.2
2012/7/16,13.5,20.4,0,19
2012/7/17,11.9,24.5,0,25.4
2012/7/18,16.7,26.2,0,19
2012/7/19,9.1,30.4,2.6,6
2012/7/20,7.5,24.5,1.8,16.8
2012/7/21,15.8,20.3,2.6,16.8
2012/7/22,12.4,23.6,0.2,6.7
2012/7/23,13.5,19.2,0,22.6
2012/7/24,8.4,25.3,0,16.3
2012/7/25,14.9,24.5,5.6,5.7
2012/7/26,10.8,18.4,2.1,16.6
2012/7/27,6.2,19.1,0.3,16.2
2012/7/28,13,21.1,1.6,13.3
2012/7/29,14.9,18.4,9.9,18.2
2012/7/30,12.1,28.1,0,20.9
2012/7/31,16.5,25.2,7.5,21.1
2012/8/1,12.1,28.3,0,15.5
2012/8/2,9.7,25.9,0,17.8
2012/8/3,12.9,34.7,0,21.9
2012/8/4,13.8,21.7,0,17.2
2012/8/5,14.5,23.8,0,17
2012/8/6,16,19.8,0,11.6
2012/8/7,15.9,26,0,15.1
2012/8/8,14.7,21,0,15.8
2012/8/9,12.4,20.2,7.8,6.8
2012/8/10,13.7,17.2,2.3,15.9
2012/8/11,11.5,24.4,1.7,3.7
2012/8/12,13.8,19.5,0,16.4
2012/8/13,15.4,20.4,1.3,18.1
2012/8/14,10.1,20.7,0,15.3
2012/8/15,9.1,22.6,0,20.1
2012/8/16,7.9,25.7,0.5,18.1
2012/8/17,18,22.7,0,23.3
2012/8/18,7.8,23.1,0,18.8
2012/8/19,12.1,27.8,0,19.7
2012/8/20,13,20.9,0,14.6
2012/8/21,13.2,27.5,0,12.2
2012/8/22,16,19.9,0,22.2
2012/8/23,10.1,20.7,0,17.7
2012/8/24,13.6,20.5,0,18.4
2012/8/25,15.1,23.7,9,11.8
2012/8/26,18.1,19.8,5.3,16.8
2012/8/27,13.1,25.4,0,20.3
2012/8/28,13.7,20.7,4.1,11.2
2012/8/29,11.5,19,19.8,15.7
2012/8/30,12.7,19.8,4.6,6.6
2012/8/31,7.9,23.9,0,13.6
2012/9/1,12.2,27.7,0.7,4.2
2012/9/2,10.5,20,0,20.4
2012/9/3,15.4,23,12.2,7.6
2012/9/4,12.8,25.1,0,13.7
2012/9/5,6.7,15.7,0,7.9
2012/9/6,7.9,19.2,0.2,8.7
2012/9/7,10.7,17.3,4.3,12.4
2012/9/8,10.3,20.8,0,6.1
2012/9/9,13,19.9,0,10.5
2012/9/10,6.9,20,0,12.8
2012/9/11,10.7,18,0.1,7.6
2012/9/12,12,21,1.3,9.3
2012/9/13,9.1,19,0,15.4
2012/9/14,8.3,21.8,0,10.8
2012/9/15,7.5,21.7,0,9.8
2012/9/16,9.1,23.2,0,11.4
2012/9/17,11,25.9,0,13.5
2012/9/18,4.5,19.8,0,2.9
2012/9/19,11.4,12.8,0,12.1
2012/9/20,2.7,20.4,0,14.1
2012/9/21,12,16.6,0,12.3
2012/9/22,14.1,15.2,0.4,2.3
2012/9/23,12.5,16.3,6,7.7
2012/9/24,14.4,16.6,0.7,13.8
2012/9/25,11.4,13.9,0,4.1
2012/9/26,13,19.1,0,7.2
2012/9/27,13,18.1,0.7,2.6
2012/9/28,11,25.7,0,11.5
2012/9/29,12,19.9,0,7.4
2012/9/30,13.9,14.2,0,9.2
2012/10/1,7.5,10.9,0,8.7
2012/10/2,6.3,19.2,0,6.9
2012/10/3,15.3,19.1,1.2,4.1
2012/10/4,4,11.5,0,13.1
2012/10/5,15.3,16.7,27,10.7
2012/10/6,12.2,14.9,11.1,7.9
2012/10/7,6.1,18.5,2.7,7.3
2012/10/8,6.3,17.4,20.2,1.8
2012/10/9,14.6,14.6,0,8
2012/10/10,11.5,13.5,0,9.5
2012/10/11,2.2,16.1,0.7,3.2
